Best individual;((x465 + ((x465 % (68 + ((((62 + ((((25 + ((x2 * 48) % -5)) * (((x278 + x415) * (25 * x231)) % -5)) - (((25 + (x602 * x120)) * ((x372 * x246) % -5)) - 27)) - x562)) * (((((48 * x288) * 62) + (x465 % (25 - -4))) * (25 * (68 + x556))) % -5)) - (((x432 * 68) % 34) * x120)) - x562))) - (((((x226 % (((34 + ((x120 % ((x94 - 25) * 25)) * x232)) * (((((48 * x288) * 62) + (x465 % (25 - -4))) * (25 * (68 + x556))) % -5)) - 27)) % (34 + ((x120 % ((27 - x465) * 25)) * x232))) * 68) / 40) % (48 * x288)))) * (68 + (x465 - ((((x226 % (((25 + (((x465 % (25 - (x465 - x465))) % 34) * x120)) * (((((48 * x288) * 62) + (x465 % (25 - -4))) * (25 * (68 + x556))) % -5)) - 27)) * 68) / 40) % (((-37 % (x232 + x52)) * x120) + 68)))))
Duration;229304
Testset error;1974.6214327694559
