Best individual;((((((((((((((x111 + (31 - x194)) - 43) + (x573 + x111)) * 43) - (((x242 + 18) - x194) * ((((x624 - 45) - x194) + 43) + (((-31 + 18) - x194) + 43)))) / x492) - ((((43 - (-36 * ((x329 + 43) + (x193 + 43)))) + x242) * x358) / ((((-35 / ((80 / x492) - 53)) - (-36 * 31)) / x492) - 53))) - (-36 * ((((x111 + (((43 - 31) + (x49 + x242)) * x358)) + x492) / (x624 - x217)) + x530))) + x49) * ((((x111 + (((43 - 31) + (x49 + x242)) * x358)) + x492) / (x624 - x217)) + x530)) + -36) - ((((((43 - (-36 * ((((-80 + 31) - x194) + 43) + (((-31 + 18) - x194) + 43)))) + x242) * x358) / ((((-35 / ((((31 + x101) + x449) / x492) - 53)) - (-36 * 31)) / x492) - 53)) - (-36 * 31)) * 33)) / x111) + ((((((43 - (-36 * 31)) + (x49 + x242)) * x358) + (x573 + x111)) - x194) + 43))
Duration;228310
Testset error;2144.0094250461348
