Best individual;((x358 / (x228 / (((x230 - ((x355 * ((x51 * (((((x264 - x110) * (x358 * 5)) - 70) / (((25 - -68) - x110) - x174)) - x51)) - 14)) - 70)) * (x174 / (((70 - ((14 % (37 - (70 / ((x68 - 24) - x174)))) / x174)) - x228) - x110))) - (((((70 - (x174 - ((29 - (70 - (x358 - (x313 - x436)))) * x604))) - ((70 - ((14 % (37 - ((5 - x186) / (x358 - x350)))) / x358)) * 53)) - (-68 % ((x428 - ((x358 - (x350 - ((x358 - x230) * x174))) - (x350 - (70 * x239)))) - ((29 - (x174 - x38)) * x604)))) - (x358 * 5)) - ((70 - ((14 % (37 - (70 / (((x358 * 5) - x228) - x110)))) / x174)) * 53))))) - ((x358 * (29 - (70 - ((x358 - x362) - x110)))) - 70))
Duration;233951
Testset error;2217.8178851092816
