Best individual;(((((((((80 % ((((38 % ((80 * x35) + x279)) * x478) % 38) * -61)) % ((((x478 % (((11 * x478) + x279) % ((x453 * x208) + x478))) * x478) % 38) * 38)) % (((80 % (((80 % (x478 * -34)) % ((x247 * x478) % (80 % x80))) * x478)) % (((((86 % 80) * x478) % 38) * x478) * x478)) * x478)) % ((((x478 % (80 % (((x131 * (x403 + x529)) * x216) + x279))) * x478) % x478) * -61)) % (80 * (((80 % ((((80 % ((x381 * x216) + x279)) * x478) * x478) * x478)) + (x251 * x478)) % x216))) * x478) + ((80 % ((80 % 38) * x478)) * x478)) + ((80 % ((80 % 38) * x478)) * x478)) + ((80 % ((80 % 38) * x478)) * x478))
Duration;236717
Testset error;5871.011454928936
