Best individual;((((((((((53 + (((((17 + x520) * x479) + x118) * x278) + x305)) * -13) + ((x595 + x208) + (69 + x420))) / (x595 - (69 + (x442 - x486)))) % (69 * x278)) / x470) + (x480 + (((x270 % (((((((40 + x485) / x257) + 17) - x323) - (x375 + (x595 + ((x221 + 69) / (x374 + x419))))) - x595) / 53)) - x479) + (x181 - (x181 - 40))))) + (((10 / ((((((((x479 + (x595 * x595)) + ((x595 + x208) + (69 + x420))) / (x595 - (69 + (x442 - x486)))) % (69 * x278)) / (x480 + (x499 + (x479 + ((x137 / 27) * 53))))) * (((x208 / x257) + 17) - x323)) / x375) + (x111 + (x480 + (x499 + (x479 + ((((x470 / -15) % (69 * x278)) / 27) * 53))))))) * 53) / x535)) * 31) + ((10 / (x595 - ((x595 - (((x208 / x257) + 17) - x323)) - x89))) % ((46 % ((x595 * (x148 + (x480 + (((x270 % x375) - x479) + (x181 - (x181 - 40)))))) / x177)) + (((((((x597 + 51) * x611) + x464) * x479) + x118) * x278) + x305))))
Duration;315194
Testset error;2172.530760210549
