Best individual;(((((((((x467 + ((x177 % (x84 + (x456 * ((-27 * 42) + x114)))) + ((((x177 % (x467 + x466)) + 54) + x467) + x299))) * (82 % x2)) + 54) + (((((x586 - ((((82 % x2) * 18) / x456) - x467)) + ((x467 + 65) * x114)) + (x460 / (x60 / (((80 - (x268 + x151)) - x273) + (((x558 + x571) + (x358 + x456)) + x370))))) + 82) + x116)) % (x467 + ((((x467 + ((x370 / (((-27 / -45) - x560) - 82)) - x391)) + x456) + x467) * x114))) + (((((x467 + ((x177 % (x84 + (x205 * ((-5 * x213) + 18)))) + ((((x177 % (x467 + x466)) + 54) + x467) + x299))) * (82 % x2)) + 54) + (((((x586 - ((((82 % x2) * 18) / x456) - x467)) + ((x467 + 65) * x114)) + (x460 / (x60 / (((80 - (x268 + x151)) - x273) + (((x558 + x571) + (x358 + x456)) + x370))))) + 82) + x116)) % (x467 + ((((x467 + ((x370 / (((-27 / -45) - x560) - 82)) - x391)) + x456) + x467) * x114)))) + ((((((x177 % (x467 + ((x467 + 65) * x114))) + 54) + x467) + x299) - -30) / (x60 / (((80 - (x60 + x151)) - x273) + (((x558 + x571) + (x358 + x456)) + x370))))) + ((((((x177 % (x467 + ((x467 + 65) * x114))) + 54) + x467) + x299) - -30) / (x60 / (((80 - (x60 + x151)) - x273) + (((x558 + x571) + (x358 + x456)) + x370))))) + ((82 % ((((((x177 % (x467 + ((x467 + 65) * x114))) + 54) + x467) + x299) - -30) + x595)) * 18))
Duration;335945
Testset error;2147.820599812324
