Best individual;((((((((x475 + ((((((x285 * x25) % x475) * 81) * x317) - ((x373 + x379) + (19 * 81))) / 19)) / x271) + (((-6 + (x357 * (((((x373 + x379) + (19 * 81)) + 70) / (-6 / x271)) + (x475 + ((x357 * (x0 + x557)) * x317))))) / x271) + (-21 + ((x357 * ((x456 + (((x285 * x25) % x475) * x168)) + (x475 + ((x357 * (x0 + x557)) * x317)))) * x317)))) / ((((x456 + (((x168 + ((37 - (x227 % 81)) / 19)) / x271) + 48)) + (19 * 81)) + 70) / (((x100 + x586) * x115) / (x456 + (x282 + 48))))) / ((x271 - x338) % 81)) - x285) + (((((((((((((x284 + 37) + (x52 + 27)) / x586) - x285) + x357) + 9) / x271) - (((((((x139 - x285) + x357) + 9) / x271) - (-8 - (((x357 * 9) * x317) % x475))) % 81) * 70)) % 81) * 70) - (x456 + ((((x115 / (x183 / (19 + ((19 * (-6 / x271)) + x608)))) + (19 * 81)) * 9) + (19 * 81)))) / (x456 + (x282 + 48))) + (19 * 81))) + (x99 + (x82 + (x250 + (((((((x168 + ((37 - x285) / 19)) / x271) - (-8 - (((x357 * 9) * x317) % x475))) % 81) * 70) + 70) / (((x100 + x586) * x115) / (x456 + (x282 + 48))))))))
Duration;325664
Testset error;2138.7096807213816
