Best individual;((((((((x140 - ((x362 + (x612 - ((74 * ((x584 + 69) + 83)) % (((x101 - x111) + (x89 * x142)) + ((x202 + 83) - x392))))) + (x366 - x392))) * 69) - x280) + ((((x623 - (((((83 + x38) + (x10 + 83)) + ((69 % x215) + (74 * 21))) / x53) + ((((x147 + x400) + x53) * x623) + (69 - (x471 + x155))))) + x524) + ((x328 + x341) + (-62 + x14))) * x142)) + (69 % x215)) + ((69 % x215) + (74 * 21))) / x53) + (((((((20 - x329) - -25) * 20) + (69 - (x471 + (x111 - (x176 % (x280 + x392)))))) + (x612 + ((x140 + (x181 - ((((x584 + x393) - (x198 + ((x342 - (x400 + 34)) + x524))) + x124) % 60))) + 83))) + x53) + (x584 + 78)))
Duration;323942
Testset error;2193.163913373918
