Best individual;(((((((x8 * (x181 + ((17 / (x286 - ((x265 + (17 / (x505 - x29))) % (x286 + ((-14 + 8) + (x279 * x421)))))) + x265))) / (46 - ((((17 / (46 - ((x286 + (x537 + x8)) % x245))) + x265) / (x245 - (((17 / (46 - (17 % x245))) + x265) % x245))) % 56))) + ((17 / (x286 - ((x265 + (17 / (46 - ((x286 + (46 - x146)) % x245)))) % (x286 + ((-14 + 8) + (x279 * x421)))))) + x265)) / (x245 - (((17 / (46 - ((x286 + ((((x500 + x167) + (x8 + x199)) + 8) + (x279 * x421))) % x245))) + x265) % x245))) + (x286 + ((-14 + 8) + (x279 * x421)))) + (((17 / (46 - ((x286 + (x253 + (((x56 * (x265 * (x245 + 21))) - 66) + x563))) % x245))) + x265) / (x245 - (((17 / (46 - ((x286 + ((((x500 + x167) + (x8 + x199)) + 8) + (x279 * x421))) % x245))) + x265) % x245)))) + (x100 + ((x56 * (((x8 * (((((x8 * (x8 * (x181 + (-78 + x265)))) + ((x56 * (56 * (x563 + 21))) - 66)) + x554) - x169) + x461)) + (((x244 + ((x8 * (x245 + ((x226 + x265) + (x8 + x558)))) + ((x56 * (56 * (x365 + 21))) - 66))) + 54) - (x595 + (x183 - (-38 + x183))))) + ((56 * (((17 / (46 - ((x286 + ((-14 + 8) + (x279 * x421))) % x245))) + x265) + 21)) + x225))) - x8)))
Duration;333859
Testset error;5614.660512469941
