Best individual;(((((((((x298 * (x446 + (x596 / ((-2 - x8) / (-20 + x438))))) / (x57 + -35)) - -66) - ((((x218 % ((((x16 / (42 + x284)) - ((x39 - -66) + 68)) + (76 * ((x47 * x606) * x16))) / 24)) * (x24 + (x358 + x596))) - (x596 - ((((x446 % ((x8 + x218) / (x91 * x454))) * (x24 + ((41 + 80) + (-69 * x475)))) - x16) + (41 + x210)))) + 68)) + ((((x123 * (x24 + ((41 + (x151 * ((x593 + x565) * (-66 * x290)))) + ((((41 + x210) / (x91 * x454)) + x358) * x475)))) - x506) / (-20 + x438)) - ((x39 - -66) + 68))) * (x218 % ((x446 + (x457 / x290)) / 24))) + x595) + (((x536 + ((((((((x123 * ((-2 - x151) / (-20 + x438))) + 76) - ((x526 + x57) * x454)) + 68) % ((x446 + ((x506 + ((x105 - x39) + 68)) + (41 + (x151 * (x616 * -46))))) / x464)) / x529) / ((x595 + (x302 + x123)) + x321)) * (34 * ((42 + (x536 % (49 + x186))) + (x536 / x274))))) * 23) + (44 + (7 * (x506 + ((x39 - -66) + 68)))))) + (76 * (((((41 + (x151 * ((x593 + (x596 + x612)) * (x24 + (x358 + x596))))) / ((x526 + x57) * x454)) + x358) * x475) * x16)))
Duration;326888
Testset error;5953.81522399723
