Best individual;(((((((((((x133 * ((((x317 + x58) + (x133 * -20)) - -81) + (((x133 * x345) + x209) / ((x343 - -21) % (-15 - x389))))) + x209) / (((((x516 / (x525 + -70)) + x209) / x91) - -21) % ((x91 + (((x497 * x223) % x462) % ((x134 + x67) + (x91 + -70)))) - (x367 / (((x462 + x330) % x78) % ((x516 + 50) / 29)))))) - -70) / (x516 + ((((x202 / 43) + x209) / x619) - -21))) + x209) / x91) - -21) % ((x91 + ((((x565 * (x580 + (((((x133 * x600) + x462) * x23) + x209) + ((-2 + ((x256 / x619) - -21)) - ((x451 - (x605 + x581)) * (x555 + (x104 - -81))))))) * ((((x580 * 10) * 28) * x170) * x610)) % x462) % ((x134 + x67) + (x91 + -70)))) - (x367 / (((x462 + ((x34 - (((x110 - x39) - x55) + (x120 + (x209 * 28)))) + x469)) % x78) % ((x516 + ((((x202 / 43) + x209) / x619) - -21)) / 29))))) - (((x451 - (x580 * x565)) + x572) + (x91 + -70))) * 29)
Duration;324633
Testset error;2208.6951734592503
