Best individual;((((((((((((((x366 * (x10 + x202)) % (x549 + x476)) * (((x153 + x288) - (-17 * 77)) / x289)) * (x435 + 12)) / 19) + ((x132 * ((x366 * x98) % (x549 + x476))) * (x435 + 12))) + ((-12 - ((((x366 * (10 + x96)) * x490) / 19) + x374)) + (x67 - (((x541 + (x209 * (x177 + x528))) + ((x521 * (x445 + x230)) + 18)) + 30)))) + (3 * (((((x132 * ((x366 * x98) % (x549 + x476))) * (x435 + 12)) * x273) + 67) - (-17 * 77)))) - (x366 * (((x288 * (18 % (x289 + x116))) + x10) / (-17 * 77)))) + 19) + x289) / x98) + (((x17 * (-12 - ((((x366 * (((x288 * (18 % (x289 + x116))) + x10) / (-17 * 77))) * x490) / 19) + x374))) + (x98 + (((-12 - (((x606 + ((x229 * (x56 + (x606 % -31))) + x116)) / -35) + x606)) + 67) + 77))) - (-17 * 77))) - (x445 + x230))
Duration;315583
Testset error;2090.946317103461
