Best individual;(((((((64 - (((x72 + (64 - (x174 % ((x198 - 23) + x228)))) - (((52 - (x460 - (x593 + (x215 * x593)))) - ((64 - ((x198 - 12) + x228)) * 23)) - 23)) + x220)) * ((x72 + ((x509 + 23) + (x187 + x203))) - ((64 - (x295 + x228)) * 23))) + (36 + x222)) % x49) + (((64 - (((x72 + (64 - (x174 % (((x543 + x473) + (x495 + x595)) - ((64 - x170) * 23))))) - (((52 - (x460 - (x593 + (x215 * x593)))) - ((64 - ((x198 - 12) + x228)) * 23)) - 23)) + x220)) * ((x72 + ((x509 + 23) + (x187 + x203))) - ((64 - (x295 + x228)) * 23))) + (64 - (x174 % ((x72 + (x322 + x72)) - ((64 - x170) * 23)))))) % x49) - ((((64 - (x593 + ((64 - (((-2 - ((x496 + ((-44 - 52) + x228)) + x198)) - x203) + x228)) * 23))) / 66) - ((((64 - (((x72 + (64 - (x174 % (((x543 + x473) + (x495 + x595)) - ((64 - x170) * 23))))) - (((52 - (x460 - (x593 + (x215 * x593)))) - ((64 - ((x198 - 12) + x228)) * 23)) - 23)) + x220)) * ((x72 + ((x509 + 23) + (x187 + x203))) - ((64 - (x295 + x228)) * 23))) + (64 - (x174 % ((x72 + (x322 + x72)) - ((64 - x170) * 23))))) % x49)) - (((75 - (((((64 - (x593 + ((64 - ((37 - x618) + x228)) * 23))) / 66) / x473) - ((((((x496 + ((x334 - 66) + x228)) + x198) - x509) / (x493 + (((36 + x222) % (48 - x167)) - x174))) - x174) - x70)) / (x209 + (-2 * (x385 - 20))))) * 64) / x311)))
Duration;331433
Testset error;2186.188784931648
