Best individual;((((((x594 + (((x101 + ((x117 + (((x166 + (x98 + -41)) - -21) + (((x136 + 0) % (x57 - x398)) * x614))) - x186)) + x489) - x57)) % ((x594 + (((x101 + ((x117 + ((79 - (x606 % -50)) + -2)) - x186)) + x489) - x57)) % (x468 + (x111 + (((x101 + ((x351 + -36) - (x166 * x489))) + 16) + x208))))) * x377) + (((x594 + (((x101 + ((x117 + ((79 - (x606 % (-21 + x47))) + -2)) - x186)) + x489) - x57)) % (x468 + (x111 + (((x101 + ((x351 + -36) - (x166 * x489))) + 16) + x208)))) * x377)) - (x351 + -36)) + (((((64 + (((x594 + (x522 - x285)) % (x468 + (x111 + (((x101 + ((x351 + -36) - (x166 * x489))) + 16) + x208)))) * x377)) + (47 + 19)) + ((x57 - (x57 - ((16 + 41) % x468))) + ((((47 + ((x606 % (79 + (((x25 - x451) * 9) * x227))) + ((x117 + (47 + 19)) + x112))) + 0) % (x57 - (x524 % x468))) * x614))) - (69 * -17)) + 69))
Duration;319730
Testset error;2158.609824454277
