Best individual;(((((((((x553 + ((((((34 + x220) % (x545 - x218)) / ((x152 + x617) % (x573 + -12))) - (((x506 + x7) / (70 * x285)) + (34 + (x19 % 70)))) + (17 * 66)) + ((89 * x515) % (19 + 39)))) + x593) * x420) + ((((89 - ((70 + 47) + (-16 / x548))) + (((89 * x515) % (19 + 39)) * 34)) / ((x593 + x333) * x553)) + (34 + (x19 % 70)))) % ((((x545 + ((((((x390 + x312) % (x545 - x218)) / x545) - 34) + (17 * 66)) + ((39 * 10) % 70))) + x593) * x420) + ((((89 - ((70 + 47) + (-16 / x548))) + (((89 * x515) % (19 + 39)) * 34)) / ((x593 + x333) * x553)) + (34 + (x19 % 70))))) + ((((((x297 + (((((x321 % x545) / x545) - 34) + (17 * 66)) + ((x297 + ((x311 + x213) + (x342 % 70))) + x285))) + x593) * x420) + ((((89 - ((70 + 47) + (-16 / x548))) + (((89 * x515) % (19 + 39)) * 34)) / ((x593 + x333) * x553)) + (34 + (x19 % 70)))) % x254) + (((((x297 + (((((x161 % -57) / 45) - 34) + (17 * 66)) + ((39 * 10) % 70))) + x285) * x515) % (19 + 39)) * 34))) / x285) + ((39 * 10) % 70)) * 34)
Duration;318990
Testset error;2158.459218265073
