Best individual;(((((((((x265 + ((((x295 + ((x594 + -5) - x221)) % (x295 - ((x497 % x7) + x124))) + x311) + ((((33 + x175) + (x5 + x75)) - x221) + x245))) * (((((x295 - ((x497 % x7) + x124)) - (x194 + (x527 + x584))) + (x360 * 41)) % ((x295 - (64 + x171)) + -5)) + (x5 + x75))) - (((((x150 - x361) + x175) + (x5 + x75)) - 9) + ((((x194 + ((x501 - x464) + x584)) - 55) * 39) - x311))) + 20) + ((((((55 + ((((x295 + x192) + 13) % (x5 + x75)) + (((x392 + x502) - x221) + x245))) - -62) * (((((x295 - (x199 + x124)) - (x194 + (x527 + x584))) + (x360 * 41)) % ((x295 - (64 + x171)) + -5)) + 34)) - (x194 + ((x7 - 9) + x584))) + 9) + ((((((90 * (((32 + x307) % 13) + 34)) - ((((x312 + x175) + (x5 + x75)) - 9) + (((x349 - 55) * 39) - x311))) + -5) + (((((x295 - (64 + x171)) + -5) + (x183 - ((x501 - x604) - x212))) - x5) / x604)) - ((((x194 + ((x7 - 9) + x584)) - (x238 % 20)) + x307) % 13)) / x604))) - 9) / x604) + ((55 + (((((-5 + x5) + (x307 + 9)) + 13) % (x5 + x75)) + ((((33 + x175) + (x5 + x75)) - x221) + x245))) - -62)) + (((x93 + ((((90 * (((((x194 + ((x7 - 9) + x584)) - (x238 % 20)) + x307) % 13) + 34)) * (x360 * 41)) + x361) % 62)) + x443) * (32 - 10)))
Duration;326012
Testset error;2035.012951769572
