Best individual;(((((((((((((((x601 - 4) + (x223 - x254)) + -60) / (((x7 + x140) - x42) - (91 + (x461 - -18)))) - (x324 - -64)) + (x42 * (x58 * (((x197 + x443) - (-84 + x483)) % 44)))) - (((x58 * ((-18 + (x499 / x382)) % 44)) - (50 - 91)) + x117)) - ((x42 * (x58 * ((((x280 + x98) + (x226 + 56)) - (-84 + (x324 - -64))) % 44))) + x273)) + (((((((-84 + (50 % x596)) + -60) / (x601 - x241)) - x433) + (x310 + x250)) - (((x58 * ((-18 + (x499 / x382)) % 44)) - (50 - 91)) + x117)) - ((x42 * (x58 * ((((x280 + x98) + (x226 + 56)) - (-84 + (x324 - -64))) % 44))) + x273))) - ((((x58 * ((-18 + ((x12 + x484) / (4 + 56))) % 44)) - (50 - 91)) + x117) + (x92 % x4))) - (((x58 * ((-18 + ((x12 + x484) / (4 + 56))) % 44)) - (50 - 91)) + x117)) + ((((-84 + (50 % x596)) + -60) / (x601 - x241)) - x433)) + (((((((-84 + (((((x111 - x494) + x140) - 54) - (91 + ((x3 + -60) - -18))) + ((((x6 - x130) + x140) - x42) - (91 + ((x3 + -60) - -18))))) - 58) - ((x165 * x234) + x273)) + (x6 - x130)) - x250) - x313) + 56)) - (-84 + ((((x42 - ((((x58 * ((-18 + ((x12 + x484) / (4 + 56))) % 44)) - (50 - 91)) + x117) + (x92 % x4))) % (-6 * (x392 % ((((x58 * (-7 % 44)) - (50 - 91)) + x117) + x68)))) - 44) - ((((45 + (((x433 * x545) * x3) + -29)) + (66 - x624)) - x42) + (-84 * x58))))) + ((x3 + (28 * (67 - (((x181 + (x111 + (((-84 + (x231 + ((x310 + x250) - x12))) - (58 * x276)) - ((x165 * x234) + x273)))) - x27) / x117)))) + x38))
Duration;336107
Testset error;2176.4677005228286
