Best individual;(((((((x319 - (x407 - (((x232 - ((x103 - ((-20 / x586) + -4)) * x11)) / ((x140 * (((x464 * 49) + x103) % x232)) - ((((49 - 55) * (x526 - x394)) + -4) % x232))) + x483))) % (x71 - (x103 - (49 + -4)))) - (((-4 / (((((x319 - ((x483 * x236) / x215)) % x232) - (((-4 / (x155 - x72)) - ((x483 * x105) / (14 + x407))) - ((x483 * (51 % x232)) / ((x342 - x584) + (x504 + x439))))) * ((((x232 - (12 * x11)) * (x526 - x394)) + -4) % x232)) - (((x103 - (11 + ((x394 * x319) / (x213 + x91)))) - 49) % x232))) - ((x483 * ((((x228 - (x483 * (x486 % x232))) * (x526 - x394)) + -4) % x232)) / (((x103 - (((x483 * (x335 % x232)) / x215) + -4)) - x584) + ((x71 - (x103 - (49 + -4))) + x439)))) - ((x483 * ((((x228 - (x483 * (x486 % x232))) * (x526 - x394)) + -4) % x232)) / (((x103 - (((x483 * (x335 % x232)) / x215) + -4)) - x584) + ((x71 - (x103 - (49 + -4))) + x439))))) + ((x319 - (((-4 / (x103 - (((x559 * x31) + x228) - x232))) - ((x483 * ((((x228 - (x483 * x194)) * (x526 - x394)) + -4) % x232)) / (((x103 - (((x483 * x66) / x215) + -4)) - x584) + ((x71 - (x103 - (49 + -4))) + x439)))) - x215)) + (x443 + ((x71 - (x103 - (49 + -4))) + x439)))) / ((x203 * (((x103 - (((x483 * ((((49 - 55) * (x526 - x394)) + -4) % x232)) / x215) + -4)) - x584) + ((x71 - (x103 - (49 + -4))) + x439))) + x228)) + ((-13 + x386) * ((x559 - ((x319 - x31) % x232)) - x394))) * (49 - 11))
Duration;334118
Testset error;2139.8030785882397
