Best individual;((((((((x98 + (((((((x88 + -42) - 15) * x161) - (x459 + x490)) - ((x595 / (x587 - (15 * x416))) + ((x478 + x473) + x120))) - x123) + ((x98 + ((((x207 + 70) - (x415 + x502)) - x123) + (x408 + (15 * 70)))) - x98))) - (((((37 * ((0 + (26 + x226)) - ((x179 * x146) + x416))) - ((x587 + x587) + x490)) / x595) + x587) - (x267 / 43))) + (((37 * ((0 + ((((x190 + x587) - -14) - x123) + (x408 + (15 * 70)))) - (((((x98 - x98) + x458) / x238) * x146) + x416))) - ((x587 + x587) + x490)) / x595)) / x238) * x146) + (x98 - x98)) / (18 / ((((((37 * ((29 + x593) - (x322 + x416))) - ((x587 + x587) + x490)) / x595) + (10 % x51)) - (x267 / 43)) - x123))) + (((((((37 * ((0 + (((((x595 + 38) + x587) - -14) - x123) + (x408 + (15 * 70)))) - (((((x98 - x98) + x458) / x238) * x146) + x416))) - ((x587 + x587) + x490)) / x595) + x587) - (x267 / 43)) - x123) + (x408 + (15 * 70))))
Duration;323052
Testset error;2090.093229423408
