fitness
1887,75372669
1900,23682871
1901,97742098
1907,21940880
1923,74137763
1797,24964092
1907,07089802
1917,15431992
1858,37415433
1906,74821756
1877,88821666
1799,41601594
1778,16378308
1874,82021489
1782,22209745
1823,82579936
1802,88756283
1868,87166950
1949,51034720
1926,90845853
1853,01234413
1875,54320920
1905,79403149
1846,47571275
1937,87018032
1801,69740181
1931,86535908
1893,12502439
1855,28529677
1746,54002044
