time;testset error
302467.0;1932.4954597466724
286575.0;1890.8562677059194
295348.0;1908.8308488202533
275204.0;1887.8864311135787
308709.0;1842.970544002222
270998.0;2415.77910307124
279321.0;1895.0254775316896
294725.0;1901.8896130420978
286520.0;1965.093603461988
268214.0;2014.462916655965
297080.0;2880.0905518259974
286987.0;2075.6798500140876
295186.0;2096.4367402540743
279339.0;1875.2075485961852
286221.0;2601.4418905942043
285089.0;1861.7288083635888
285662.0;1918.4785633917927
277988.0;1931.4566884551896
280231.0;1901.337588826777
292672.0;1859.2588535981754
314364.0;1990.5300809883197
281631.0;1837.1293082613047
299835.0;7988.858482381365
288763.0;1950.8807602836996
267671.0;1877.2629983704958
286267.0;2097.0636763682387
277933.0;1869.3619541301287
295306.0;1870.9488009043696
273194.0;1864.9006275290083
271131.0;2025.106119465665
