Best individual;((x261 / (x510 - ((x261 / (((x85 / ((-38 - ((-69 * (((x349 * x142) + (x85 + 1)) - -17)) / -69)) - 53)) * (x204 - ((88 / (((-22 + ((62 - x423) % 34)) / -53) % ((((-54 + -19) - (-35 % -35)) % ((-8 % -27) / (x583 % -66))) + (((x179 * 5) / 56) - 10)))) / (-39 - 31)))) + ((((((67 % (8 / (-13 - (x501 - 6)))) / ((((-24 * x622) / -16) % -59) - (-85 % (x549 % -9)))) + (-52 / (x549 % 6))) + ((((10 % ((-13 / 35) / (x311 - 6))) / (33 % (x549 / -64))) - (-1 % (((-29 * -39) % (-75 * -64)) + x510))) - -41)) % ((39 * (-14 % ((-74 + (29 - (-2 - 65))) % (20 + (-41 * -9))))) + ((((((-1 * -22) - (29 - -71)) * 21) - 50) - x454) - (84 % (14 - (-57 * (11 * 21))))))) - ((((((1 - ((53 % -62) - (-4 / 30))) % ((-10 % (34 - -17)) / -69)) + (66 - 57)) / (x101 - (-33 / (((24 % -12) - (26 - x622)) % 24)))) + 6) - 10)))) / (21 + 33)))) + ((((((4 % 35) + (x85 - 1)) + 21) / 23) + -82) - (96 + (-23 - (86 * (21 - x501))))))
Duration;13363045
Testset error;2179.655116802878
