Best individual;((((((((((10 * (74 / ((-71 - (x175 + (-30 - x2))) + (-74 + ((32 + -2) - -73))))) * (-61 * (((((-10 + 0) / (-86 % x485)) - (37 % (-30 + -36))) / (((-20 / -19) * (-71 * x77)) - (x373 * -19))) + -74))) + (((-21 + -36) % 72) - (-71 / (((((x298 + 0) % (-92 / 31)) % (4 * (-6 + -33))) / (((x61 * 11) / (60 * 22)) + (28 / -25))) + -9)))) + ((((((((-43 + 23) * (-87 + 89)) % ((2 - -9) + -33)) * -37) % (x139 + (-6 + ((14 - 26) * -23)))) - (50 - (x175 / -33))) / (((24 / ((-27 - (-22 % 38)) + -32)) * (43 * (x175 - -74))) - (x373 * 18))) + -5)) / (-39 * (((((((9 % (-7 + 58)) - x547) + -56) / 8) / (11 % (-30 + -33))) % (((-49 / ((-42 % (-35 * -7)) + 62)) * (-71 * (x175 / 3))) - (x373 + 92))) + -22))) + (((-83 - 56) + 2) + (-71 * ((((((((-15 + 28) - (-1 / 16)) - ((39 - -28) * -42)) + -67) / (x139 + (-71 + ((47 - x547) - -17)))) + (29 * (24 + -64))) / (((x61 / ((30 - (-34 + -21)) + 77)) * (-71 * (x175 / -33))) - (x373 * -38))) + -63)))) + ((((((((-42 + 28) - (30 * -22)) + ((6 + x311) - 7)) % -32) + (x139 - (-27 * ((-23 * x547) / x175)))) + (50 - (15 % -33))) / (((72 / ((6 - (-65 + 7)) + -59)) / (-8 * (x175 + -43))) - (-35 * 27))) + -63)) / (((x61 / ((-36 * (-35 / (x175 + (-57 % ((((-26 / 89) - (-71 * 10)) / 37) + x247))))) + 4)) + (-71 * (82 / -33))) - (x373 * 92))) + ((x139 + (-71 * (x175 + -33))) - x593)) - 48)
Duration;14309818
Testset error;2278.894090655863
