Best individual;(((((((((((((-67 + ((x196 + x103) * x280)) - (((69 - 4) + (17 / 38)) - ((-90 + -47) - 25))) / (-32 * (-11 + x280))) % ((-21 - (-46 + 24)) % 31)) + (72 / (-44 % (-6 / (x450 + 55))))) + (((((((x477 + x334) - -32) - ((-37 - x514) / (x36 - 27))) - (((x393 / x591) * (x356 % 51)) + (-59 + (-40 + 70)))) / ((((x605 - x457) / (33 % 29)) * ((x115 + -39) % 40)) + (((x581 + x64) * 36) * x392))) + ((((-3 / (82 - x515)) / (33 % (-12 + x280))) * ((12 - (3 + x82)) / 40)) + (x29 * ((-4 + (x559 + x409)) + 55)))) + (-71 * -22))) - -32) - (((-36 + -39) % ((((26 * (((-45 + -19) + (25 % -9)) - ((x180 - -27) + -22))) + (13 * (-5 * x280))) + ((-25 - (3 + x16)) + 40)) + (x29 * ((61 + (((x352 + -10) - -29) % -54)) + 58)))) / (((((((-51 + (x341 - 5)) + ((x261 / -27) * x392)) * -8) % (((40 / 25) + ((25 + -1) / 24)) + (((20 + 22) / 89) * 20))) % (33 % (-12 + x280))) + ((x115 + (3 * x82)) % 30)) / ((((72 - (-65 + (-6 / (-32 + 80)))) * (-56 % x502)) + -27) * -12)))) - ((((41 + (((((61 - (-61 / -21)) + x461) + 32) + ((-29 * 17) * 2)) - ((((72 / (6 % 4)) % (-34 * x502)) - -57) + 50))) / (67 - (25 * x280))) * ((x115 * (3 - -16)) % 40)) + (-33 + ((61 - ((((27 / (-80 / 22)) * 1) * 59) + 29)) / 55)))) / (((((((22 - (-88 / -74)) % ((x261 % -7) * x392)) % 15) - (((40 + x177) + ((7 * -34) / -31)) - (((36 / 17) + -32) * x392))) / (33 % (20 + x280))) * ((x115 + (3 + 60)) % 40)) - ((((19 + (-15 % (23 / (x450 + 85)))) + (11 * x502)) + -27) * x392))) + ((((-52 - (((((61 % (((-38 + -44) + (19 / -32)) / ((-13 + 49) / -44))) + x461) + -57) - ((-34 - 17) / 44)) - ((((66 / (-44 % (-6 / (x450 + x234)))) / (11 * x502)) + -27) * x392))) / (33 % (-64 + x280))) * ((x115 - (3 + x82)) % 40)) + (x29 * ((-4 + ((((5 - (-80 + x82)) % 40) * -29) + x409)) + 55)))) + (-71 * x502)) + ((((50 + (-3 - ((((x290 - 11) - -23) - ((-44 - -18) + -7)) / x591))) / x506) - -47) + ((((-35 * -36) + -84) + 2) + -4)))
Duration;13893750
Testset error;6016.640472885466
