Best individual;((((((x82 + (((((((((-3 * -4) - (85 * -10)) + ((-46 * x204) + (47 * -30))) * ((15 - (-53 % -3)) % 65)) / 33) % 55) * (65 * ((57 + (((3 + 24) * 55) * ((-75 + 82) - 30))) % (x81 % 33)))) / (25 - -71)) - -47)) + -34) + ((((((-28 + 46) - ((71 * ((((x380 + 82) * 30) % ((18 - 54) - x376)) % (5 - 71))) * -10)) + ((-46 * ((-72 * 17) % (-60 - x407))) + ((-23 + (x456 * 38)) * -30))) * ((15 - (-53 % -18)) % -74)) / 33) / x604)) + (((24 + 44) * x407) + 51)) + (-45 + (((((((-49 - ((((8 - -67) + 10) + (40 % -34)) * 8)) + -12) * ((12 / ((((-32 + 18) - -44) + ((-66 * -65) * x376)) % (-33 - 71))) * 53)) - ((5 + ((-33 % -15) % (-1 * -21))) - ((-32 - (32 / -34)) - 48))) % ((87 - (4 - 54)) * x270)) + ((60 * 42) - 5)) / x604))) - ((-20 + (8 % ((x81 % -31) + -28))) * 64))
Duration;13121404
Testset error;2258.952629605673
