Best individual;(((((((18 / ((x183 - (-9 + ((x613 * (x167 * ((47 + -1) + (-26 * x482)))) % -47))) % -7)) / (42 * (22 / 50))) / (((((((((39 - (x586 - 20)) + x125) * 19) / (18 + ((x183 - (46 + x345)) + 6))) * 68) * -52) + (38 % (8 * 23))) / (18 + (((((((x248 + 45) / -34) * ((x603 + x227) + x0)) + x125) + x484) * 19) + -64))) * -21)) * ((((((((46 / 8) + 68) - ((x274 % x484) * -9)) / (-31 * ((22 * 26) * -9))) * 30) + (((((x311 * -16) * 18) + (46 % (22 + 68))) / (18 + ((10 * 19) + 67))) * 45)) + (17 + (22 % 62))) + x217)) + (((((((((39 - ((x508 % (x8 + -59)) - 20)) + x125) * 19) / (18 + ((x183 - (46 + ((17 / -32) % -1))) + 6))) * 68) * -52) + (38 % (8 * 60))) / (18 + (((((((((x167 + x516) + -72) + 45) / -34) * (((x183 + (46 - -66)) + (17 + (65 * 19))) + x0)) + x125) + x484) * 19) + -31))) * 45)) + (-74 + (22 * 68))) + (22 + (-36 / (((((((-60 + x516) - -59) + 68) - ((x274 - x484) * -32)) / (6 * ((22 + 26) - -9))) * 30) + (((((x311 / -26) % 18) + (46 % (22 / 68))) / (18 * ((-52 % -18) + 67))) * 45)))))
Duration;13942142
Testset error;2333.4436648808373
