Best individual;(((((x133 * ((((x620 % (21 * (((-16 / ((65 % x480) - (-44 + 70))) + -19) + x13))) * 65) / (9 % -20)) - (((-19 / x480) / (-17 % 8)) * -35))) % ((-5 + (((65 * 36) + 7) * (((-19 + x480) / (-70 - -63)) * -35))) / (15 % 68))) + (-6 + 55)) + -32) + (((((((((44 - (50 - (-85 % ((x390 + (-32 / -54)) / (57 * (67 * 7)))))) / (45 / x169)) % -50) + ((84 * ((43 + ((73 % (33 * (18 % 31))) * 65)) + 80)) - 29)) * x390) % ((x97 - (((65 * 20) - -6) * (((-19 + x480) / (-13 % 7)) * -35))) / (-76 % -20))) + ((((-23 + ((-33 + (74 * -56)) % (7 / -38))) / (-8 % 74)) - 8) % (-12 % 13))) + (30 / 26)) + ((((((8 - ((-66 * ((-18 + ((28 - (x473 / x84)) + -18)) % 30)) - 18)) * -25) % ((54 - (((65 / -34) + 9) * (((-19 % -58) / (-17 * -45)) * -35))) / (9 - 24))) - ((((31 % ((x594 + (31 * 68)) % (6 * -70))) / (9 / 86)) - 36) + (64 / -26))) + (-70 % -83)) + (-17 + (65 * 20)))))
Duration;13985448
Testset error;2318.7661273378667
