Best individual;(((45 % ((((-3 + ((((45 / ((((x500 / x457) * 23) + -50) + (((x622 + -20) / 42) / (x168 + (x519 * 23))))) % ((((59 + (63 - 67)) + 44) + 40) % ((((-54 % -1) + 40) + 30) + (-13 + ((-34 - 52) + -27))))) / -5) - 10)) + -48) + ((x247 + ((((((-21 + 1) % 55) + ((47 / 5) + 16)) % (((-35 - -6) + -27) / ((70 % 30) * (-52 - -38)))) - -8) / ((((9 + -83) / -61) * -28) + 42))) % 38)) * (((((x183 - (-51 + (x247 + (x247 / (((-50 / -51) % x49) + 32))))) + (-49 + (x444 + 78))) + -22) / -22) - (x168 + ((-1 % -8) * 40))))) % ((((52 / (((x247 + ((((((-13 + 70) + 67) * ((47 * x7) % 16)) % (((83 / 22) + -83) * ((40 % 78) * (-44 / -14)))) * -10) / ((((1 % -24) * -61) * 26) + 36))) % 38) - 55)) + 43) + x621) * (((((x183 + (x595 + (x247 + (x247 % ((((38 - x88) + 72) + x49) + 32))))) + (18 + (x444 + 78))) + -22) / 30) % (x168 + ((x114 % x7) * 23))))) * ((45 % ((((-3 + ((((45 % ((((73 - -22) + x121) + x183) - (((-41 % x62) % 38) - 10))) - ((((21 + (4 - 61)) % 53) + -48) % ((((-54 % -18) - -22) / 30) * (20 + ((-43 - -63) * 23))))) % 38) % 17)) + -48) + ((x247 + ((((((-21 + 1) % 55) + ((47 / 22) + 16)) % (((76 - -6) + 20) / ((-8 / 30) * (-68 + 51)))) - -10) / ((((-21 % -83) * -61) * -11) % 42))) % 38)) * (((((15 - (43 + (x247 + (x247 * (((-20 / -26) % x49) + 32))))) + (25 + (x444 + 78))) + -22) / -22) - (x168 + ((x114 % -19) * 23))))) % ((((21 + (((x247 + ((((((-16 + -50) + 67) * ((47 % -17) % 16)) % (((-42 * 24) + -83) * ((40 - 78) * (-44 - 51)))) - -10) / ((((9 % -27) - -61) * -43) + -58))) % 38) - 61)) + 44) + x621) * (((((x183 + (x595 + (x247 + (x247 % ((((38 - x88) + 72) + x49) + 18))))) + (18 + (x444 + 78))) + -22) / -30) % (x168 + ((x114 % x7) * 23))))))
Duration;13936422
Testset error;2410.7919632328117
