Best individual;((55 * (((((((((7 / (((6 - (x287 * x0)) - x231) + 26)) + x193) * x0) * (-25 + ((55 * 34) / 7))) + (57 + (x99 + (55 * (-13 * ((((x103 + x133) * x0) * 4) + (-77 - ((24 % x581) * -54)))))))) - -16) + ((15 * (21 + (((55 * (-79 * (((x95 - 26) * 26) % (53 - (-29 + -20))))) + (((((15 + -8) % (69 + -65)) % -46) * x453) - (-32 / (((0 * -17) + 80) * -43)))) + (((((x193 * (-37 + -37)) % -19) % 44) + 41) / 45)))) + -64)) / ((55 * (-44 + ((55 * ((x193 + (((-21 * (32 * 12)) * x527) + x0)) + 19)) / 7))) + -32)) + 24)) + (38 + (((-48 * ((-14 / ((3 * ((((((x99 * x95) + (-86 + 42)) % (-14 % (-2 + 8))) / x0) + -33) + (83 - ((-14 * x581) + -32)))) + 77)) + x31)) + (x114 * (x538 * ((24 * x193) + x527)))) % (x595 + (-74 + 27)))))
Duration;12907154
Testset error;2320.9040218036725
