Best individual;(((((86 - (86 * ((-58 + ((14 / (-15 + ((-27 / (31 - (x285 * x412))) + ((x595 * (27 % 7)) - -54)))) + (-28 % (68 - (-40 % (10 % 39)))))) / 52))) / ((((((((-44 - (((-43 - -22) % (-69 % -18)) + (13 - (-84 - x115)))) * (47 + (x595 + ((-68 + -7) * -68)))) + (3 % -4)) * 58) - (-1 * -16)) - 13) % -64) - (-46 / (((((-3 % x595) + (-30 * -9)) - -49) + x190) + (52 % (-17 * (-63 + (-21 * -48)))))))) + (((27 - ((-55 / ((((((-54 / (52 * -48)) + (68 * -72)) + x196) % 35) + (-9 + ((27 - (1 % (9 - 19))) - ((x595 * (-38 / 39)) - 78)))) + (x190 - (68 - (-40 % (x145 + 54)))))) * 52)) + (x364 * (22 + ((85 + (x364 * (-40 + ((-40 % ((-25 * x427) + x515)) * x515)))) + 31)))) + ((x595 + (x620 + (29 + ((-23 / (((((15 % -95) + (-6 / 24)) * -23) * 24) + (-34 + (-66 / (-40 % (-30 - 11)))))) + 13)))) - x51))) + (68 * 24)) - x196)
Duration;14233428
Testset error;2307.2704127619527
