Best individual;(((((((((x587 + ((52 / (((x587 * (17 - 93)) % (-48 - (-29 / 56))) + (-35 + (1 + 69)))) / 21)) * (25 - ((-28 + ((10 + ((x96 + x139) - -25)) + 22)) + 0))) / (-18 + ((9 * (76 - x99)) + (((18 * ((67 % -7) / 48)) - -1) % -11)))) + (76 % (7 + (((-16 * ((-3 + ((-43 - -65) - -64)) / 34)) - (78 + ((((8 / -83) % -92) - (9 * (-74 * 25))) - ((-21 / (65 - -75)) + -78)))) * (-86 + (-24 - -44)))))) * 42) / x53) + ((42 % (((-25 - (-3 * ((76 * -69) + x316))) / (x49 / ((16 - (-20 + x99)) % (((-84 * ((28 % -13) - -64)) % 69) + 1)))) % x486)) * 41)) - ((64 - (45 * ((25 + -87) + 23))) / (x49 + ((38 % (21 + x99)) * (((42 / ((40 + 22) - 22)) - 21) % -12))))) + (31 * 33))
Duration;13108594
Testset error;2337.73803712001
