Best individual;((((x208 + (x247 * ((18 % (x208 + ((((13 % (-11 - ((x375 - 80) / (-62 / -21)))) / 80) * -83) + (((x208 + (10 + ((x247 + 53) % (-16 * -8)))) % -35) / 18)))) * (18 % ((-49 + (x111 - 36)) + ((x354 + -20) - (-20 - -46))))))) % 80) * 18) + (((x208 + (x247 + ((-43 % -1) * ((60 / (2 + (32 + ((-15 % (70 % (11 + (26 * 28)))) - (86 - (-6 + (-15 - x562))))))) + -33)))) % 80) * 18))
Duration;13048876
Testset error;2372.639008093508
