Best individual;((38 + (((((63 + (0 + (x183 - ((65 + ((-27 % (45 - (x85 / x188))) % -27)) * x241)))) / (((((44 + ((0 * (-9 - (49 / x264))) * ((67 - (78 * -26)) * -15))) / x407) % (34 - (-48 - ((((44 % 28) * (-7 % 38)) * -17) / (((-34 / -17) + -53) - -23))))) * -15) / (((-61 - (16 * ((83 / (-37 - x72)) - -10))) + -15) - x9))) + (87 * (16 + ((-34 + (-33 / (-15 - (35 + -27)))) / x49)))) / (x407 + ((-15 - (7 + ((((((43 / (x482 + -31)) * -73) + 21) - ((x48 / -34) - -33)) % -33) / (((51 + (10 * 24)) * 5) * -4)))) * (((((33 * ((46 % (85 / (42 / -45))) - ((-43 * (29 + -26)) / 24))) % 18) % (-11 % (-52 % ((((-83 % -7) * (4 - 20)) * 40) / (((41 * -10) + x243) * x9))))) * 40) * (((41 + (-90 % ((19 % (-8 + x72)) - 43))) * x243) % x9))))) / x49)) * (38 + (((((-5 * ((40 * (38 + ((-27 % (-13 * (-69 - (31 - -7)))) / x49))) + ((x98 + (0 + (x183 - ((65 + (35 + -27)) * x241)))) / x49))) % x407) % ((12 % (-24 / 9)) - -69)) * 40) / (((41 + (58 - ((x48 - (x472 - x72)) - x591))) * x243) - x9))))
Duration;14027965
Testset error;2388.1335540528835
