Best individual;(((((10 - (x499 + (((51 + ((x451 * (((x413 + (-18 / x581)) % 34) + x492)) + (-37 / (61 + (22 / (-19 - (-21 % 83))))))) + 87) + x430))) - ((47 / -38) + 67)) + ((((((((51 % ((-66 * ((-37 % 85) + 31)) - -18)) / -25) + x430) - ((47 + -38) + 67)) - (38 - -31)) + ((x165 - (-28 + (((x451 * (((-11 * -15) + 34) + -4)) + 30) + 31))) % (61 + (61 * (82 + (((10 * ((14 + 61) % (28 * -31))) - (10 + 22)) % (61 - -37))))))) % ((51 - ((-3 * (((((-2 * (-7 + -2)) + -39) + ((x257 / -43) / 43)) / -15) + 5)) + (-37 + ((-42 % (-61 + 16)) + (35 + (x356 + -18)))))) + (82 + (((((12 % 63) + 18) + ((-6 % 60) * -11)) - (-8 + (x447 + (36 - -31)))) % (-61 + 22))))) / (x624 / -39))) + ((x257 % 13) / 43)) + (((31 % ((((x165 / (20 + (((x451 * (((91 - -37) + 34) + x492)) + 30) + 31))) % (61 + (61 / (-19 - (((-42 * ((14 * 3) * (6 + -31))) - (10 + 22)) % (61 - -37)))))) + (51 + ((34 % (((-22 - 89) % (57 + -31)) + (-55 * (x464 % -7)))) + 31))) + (x499 + (((51 + ((x451 * (((x413 + (-37 / x581)) % 34) + x492)) + 0)) + -25) + x430)))) * 51) - x257))
Duration;13404479
Testset error;2325.1484531156684
