Best individual;((((9 + ((((((((((16 - (x84 - x77)) * x322) / -66) + ((((96 - -47) % (34 - 59)) / ((-11 - -24) - (-43 - 17))) + ((-75 % (14 * -20)) % (21 + 6)))) + (-43 / (-20 + x282))) % (-1 - ((-10 - -15) * 77))) * ((((-28 - ((19 * 2) * 27)) - 53) + -22) * (-4 % (-76 / ((-2 - ((-45 + x285) * (x396 + x30))) + x285))))) / ((((-50 / (-11 * -20)) - (16 * 5)) - ((x446 % (18 % 22)) / (18 % 7))) - -56)) / 2) % (((9 % (((((((18 * x254) + (1 + x350)) * -27) + (((27 - x29) - x322) % 38)) * ((((-50 + 44) * (39 * -56)) - ((x446 + 37) / (-16 % -93))) - -56)) - ((-71 - (((64 + x459) + (-47 * 18)) % ((x327 + 17) * (x367 + -15)))) / ((10 % ((x4 % -40) - 32)) / 2))) % (43 - ((((0 + 64) - (-64 + 20)) - 18) + -85)))) / (-65 / ((-33 * ((((-71 + 64) - (64 - x190)) * x322) + 37)) - x366))) + (((-2 % -85) + x49) + ((((16 - (13 + ((21 % (-72 - -2)) - -5))) - (16 % 9)) * ((12 + (11 / (-44 + -54))) * (80 - -16))) + -1))))) - (x285 / ((43 / ((((-95 + 64) - (-64 - x190)) * x322) + -85)) + x366))) + (((-2 % -38) + x49) + ((((20 / (-51 + ((21 % (-8 - -55)) / 10))) - (-9 * 9)) + ((x222 + (37 % (-45 + x608))) * (80 - -5))) + -3))) + (x49 - (10 - -56)))
Duration;13762591
Testset error;5969.386228383233
