Best individual;(((((((((((x462 + (54 - (((x87 % 52) - (42 + -5)) * ((-76 - -10) * (77 + x183))))) * (((-23 + (67 / (-26 - -19))) + 91) % (2 + ((17 % 76) + (-12 + -21))))) / (19 / ((15 - 3) - (-18 + -8)))) % (((-38 - (59 + (((x510 + x243) - (26 * 52)) - (-34 * 22)))) + 22) * (7 + ((-17 + 34) % (-6 + 0))))) - 24) + (59 * 35)) + ((-62 * (((x462 + (-66 / ((((80 + 1) + (58 * 26)) % ((21 - 34) + x183)) - (59 * -29)))) * 20) % (7 + ((-89 - 34) - (64 + -21))))) * (-20 + 15))) * (((46 / (((31 + (((66 / (-2 / (-20 - -56))) - 29) % (-68 + ((-88 - -45) - (-13 + -21))))) - (-5 / 14)) / ((((-31 + (-36 - (70 + (48 / 28)))) + (4 * (-76 * (16 - 59)))) % ((x201 - -37) + 51)) - (-37 + -37)))) - -53) / (-58 - ((16 % 34) + (2 % -8))))) / 44) + (54 * 35)) + ((28 * (((x462 + (67 / ((((x462 + (-7 / ((-51 + 3) % (-1 - -73)))) + (-1 * (-1 + (-51 * 59)))) % ((x201 - x70) - x183)) - (59 * x492)))) * 10) % (7 + ((17 - 34) - (64 % 3))))) * (-20 + 14)))
Duration;13662840
Testset error;2436.7685717313666
