Best individual;((((((((-60 * ((-39 + ((59 + (-21 + ((x229 - 5) + -15))) + ((35 * 29) / 32))) + (-22 % -86))) % -15) - -16) % -26) - -55) * ((((43 - ((-63 + ((((((1 - -21) + (x593 - 28)) + -71) - ((-21 + (30 / 67)) + (51 / 31))) % -21) + (-51 / 58))) / (((32 / (43 - ((2 - (-47 - -6)) / (44 % -18)))) - x196) - x229))) * 19) * (((((((-32 * (((-22 / 32) + 49) * -14)) * (29 - x3)) / 18) * -34) - -41) % ((-6 + ((((((58 + -10) % -36) - (-31 + x3)) * 38) % 59) - 67)) / (-19 * -26))) % -21)) / 30)) + (((((((19 * (((43 - ((20 + (35 / -52)) / (31 - 57))) * 22) * -18)) / (-28 * x3)) - (11 + (72 / ((-35 - ((19 + x583) % 62)) % (-12 % 63))))) + -42) - 39) - ((16 * ((((((37 * (72 / ((72 * 22) / (-74 / 9)))) / 6) % (-85 + -35)) - -26) % 21) - 67)) / (14 % x3))) - -25)) + (((43 + ((-75 + (-39 + (((2 - (53 + ((-12 + ((16 * x583) + 0)) / (44 * 33)))) - x196) - x229))) + ((35 * 29) + 32))) + (-22 / 71)) + (x595 + -3)))
Duration;13974998
Testset error;2282.7648152124484
