Best individual;(((((((((((((((x23 * 20) + x0) + 2) % (3 + x130)) + ((x389 - 32) + (-25 / 51))) + (((-58 - 7) + (26 / -73)) + (-15 % 89))) / (30 / 33)) * 61) * -17) * 69) % -62) * (72 % (((((((-8 % (((x92 + -50) % -7) - ((x110 * x64) % (-41 + 8)))) + (((3 + 65) * -32) / -32)) * (((-9 + -26) + (-11 + -41)) % -19)) - 52) * (((-95 - ((57 / -15) + -32)) % (88 - ((9 / 14) / 30))) % (56 * (-50 - ((58 + 74) + -52))))) / (((-19 - (((x443 / 19) / -32) - -40)) % (7 - ((47 * (66 / 3)) % -40))) % (x49 + (17 + (((x309 + x0) * -46) - 20))))) % (((-32 - (-35 / (8 * (31 - (30 / 33))))) - (x49 + (x583 % (((-32 / 75) * 61) + 20)))) / (((57 + -10) + (53 - x49)) - (-30 / 13)))))) + (4 - ((28 * (((41 + (70 * x57)) % x0) / 3)) % x597))) + (x49 + (45 + ((((64 % (66 - (-13 + (((58 - 15) / (-8 / x49)) + (13 * 89))))) / x0) * 61) * 40)))) + (x481 * 37))
Duration;13850527
Testset error;2255.3919326234545
