Best individual;(((((((x99 - (((-18 / ((10 * (7 - ((98 + 3) + 5))) % (((x275 % (-58 % 9)) % ((-19 % -33) * 45)) % (-13 % ((51 + 36) / 7))))) / ((((38 * ((-3 % 56) * x275)) % 46) * 73) * ((-2 - (70 + (-27 - (26 - 2)))) % 26))) + -64)) - (50 + ((-2 - (-10 / (((((x426 % -55) + (x466 % 47)) * x183) * 34) % -5))) * 58))) - ((((40 - ((-22 - (64 / (x49 + ((-69 - 16) % x183)))) * (((x83 * ((-55 + x20) - x183)) / (-21 / ((x381 - 43) % 19))) % 73))) / (18 % (8 - (21 * ((49 % ((-15 * x275) * -20)) + -1))))) + 16) / (-67 + -31))) * (58 - ((96 + 59) + 59))) % (((-71 - (-40 % (((81 % (41 % ((37 / ((-58 * 8) + (20 - 42))) - (((x83 % 33) + -9) * (-63 * -33))))) - (39 + (((((12 + -64) % (21 / x183)) * 16) + -41) % 26))) * 36))) * ((x183 / (((-42 * 70) / -29) + (21 - 70))) - 45)) % (20 + ((78 * (21 - (-27 + ((((7 - 54) + (-14 + -46)) * 10) - 19)))) / 5)))) + (((((4 - ((((45 / ((((-34 + -65) * 27) - -63) / 73)) - 27) / ((((-13 - ((-3 % 35) * x275)) - 40) + -45) * ((-47 - (70 - (-97 + (-46 + x314)))) - 45))) + 5)) - (x83 * -91)) % ((((x275 - ((37 / (-49 + (x49 % ((x545 - -65) * x183)))) % (((x83 + ((x92 * 2) + 78)) / (65 / ((-39 / 38) % -20))) * 65))) + (88 % (59 * (-11 + ((x183 % ((31 * -25) % -7)) + -54))))) + 16) - (4 * -62))) - (81 / (45 * ((x183 + (((36 + -7) / -29) + (52 * 70))) - 45)))) % (((x275 - (27 % (((81 / (4 - ((x183 + ((-62 % -19) - (40 / 23))) * (((2 * x505) + -27) - (33 - 70))))) + (39 + (((((-61 - 10) / (7 * x183)) % x183) - 44) / 26))) % 70))) + ((11 / (((-42 % 12) / -29) / (-27 - -21))) - 8)) % (56 % ((-46 - (21 * (-70 * ((((-22 % -46) - (52 + -13)) / -60) * 15)))) / 5))))) + (((45 + (((((81 / (45 * ((x183 + (((x83 * x505) / -29) + (-27 - 70))) - 45))) + (x183 - x530)) * 27) * x250) % -20)) * 27) + -50))
Duration;14747591
Testset error;8129.563438915667
