time;testset error
230845.0;6115.501697717083
225852.0;5894.483072060893
225729.0;6242.431481010061
221331.0;2661.367730496669
229635.0;5868.0160952862
226325.0;5839.55663511985
226207.0;5928.12562947243
222506.0;2121.1321936761096
238510.0;2274.8148162969806
242580.0;2770.126796375348
237595.0;6114.590646488385
225911.0;2063.24083549182
233115.0;2182.1097476389796
240625.0;2373.945815796597
228943.0;5831.73792292131
228825.0;2948.142421962806
228535.0;2906.3133743120948
240234.0;8179.082502132489
226796.0;2011.4318655004665
225360.0;2195.8419634247853
223133.0;27031.01783129766
226193.0;5929.44818468593
238906.0;2194.231287510436
225883.0;2108.4195266151337
235505.0;2088.5980566300996
231990.0;2063.1309408967286
234892.0;2494.829685508756
222130.0;2303.3931277285183
226859.0;2143.433318713546
228450.0;2399.3681652831115
