time;testset error
236652.0;9712.642356465616
253435.0;2222.0904774303945
236650.0;2279.058011664172
236973.0;1957.837632878449
229304.0;1974.6214327694559
236835.0;5887.736281298481
239134.0;5800.598358027408
241763.0;8008.635182381467
232791.0;2131.7258304565657
246500.0;1908.7747754941017
244536.0;1943.822792690816
245882.0;5814.527921696946
246397.0;5850.284972065661
239353.0;2234.4403154264196
244396.0;2171.819811601563
236717.0;5871.011454928936
233913.0;9699.40435170777
237627.0;5838.387793974096
233951.0;2217.8178851092816
245250.0;5854.6190222900805
228310.0;2144.0094250461348
241404.0;2402.993285055799
240173.0;1977.6326594561053
235849.0;11185.59055252788
234123.0;2062.9409749859205
241475.0;2254.361291612372
232405.0;5806.435614133738
229455.0;2083.3322082586624
227346.0;9716.176487799376
246000.0;1982.3733348355397
