time;testset error
355946.0;2154.8352623960986
317066.0;2158.3365015518266
325233.0;2203.2433351055934
318990.0;2158.459218265073
331677.0;2177.7854127123474
355158.0;2167.6624052821544
336986.0;2186.8899352549042
355434.0;2227.937268062146
319730.0;2158.609824454277
336107.0;2176.4677005228286
315194.0;2172.530760210549
344174.0;2214.6740994138518
326888.0;5953.81522399723
323052.0;2090.093229423408
303287.0;2219.5915326042095
309698.0;2205.700088990858
328314.0;2248.009366720901
334118.0;2139.8030785882397
315583.0;2090.946317103461
322205.0;2183.377257198696
324633.0;2208.6951734592503
388104.0;2201.5530009909758
332528.0;2148.9086532118845
323942.0;2193.163913373918
357390.0;2165.778920794844
333859.0;5614.660512469941
331433.0;2186.188784931648
325664.0;2138.7096807213816
326012.0;2035.012951769572
335945.0;2147.820599812324
