Best individual;((((44 % (((((((44 + (44 % ((44 + (x595 % x95)) - x170))) - x170) - x170) + ((44 + (44 % ((44 + (1 % (44 + 7))) - x170))) - x170)) % ((44 + ((x469 - x250) % (x616 + x610))) - x170)) % 44) + (((((44 + (x351 % (44 % (((44 - x484) - 44) - x170)))) - x170) + ((44 + (44 % ((44 + (1 % (44 + 7))) - x170))) - x170)) % ((44 + ((x469 - x250) % (x616 + x610))) - x170)) % 44))) + ((44 + (44 % ((x170 - 44) - x170))) - x170)) - ((x170 + x402) % (44 - 55))) * 44)
Duration;270260
Testset error;2494.938499849973
