Best individual;(((30 * ((((x448 / (-79 / ((x461 * (((((x146 * x461) / -4) + 26) + 26) * x490)) / 26))) / x461) + ((((((x461 * ((((x97 + x136) + (x448 / 26)) / x555) + (x46 * ((x46 * x371) / 26)))) / ((x490 * x46) + x531)) + 21) * (((x46 * ((x544 / -4) / (x461 * x461))) * (-79 / 26)) + x358)) / ((x490 * x46) + x531)) / ((x490 * x46) + x531))) + ((((((x461 * ((x461 / x555) + x358)) / ((x490 * x46) + x531)) + 26) * (((x46 * ((x544 / -4) / (x461 * x461))) * (-79 / 26)) + x358)) / ((x490 * x46) + x531)) + 26))) / ((x46 * ((x46 * (x461 + (((((x461 * x461) + x461) / 26) * (x461 + 26)) + x461))) / 26)) + x531)) * ((x46 * ((x46 * (x461 + (((((x461 * x461) + x461) / 26) * (x461 + 26)) + x461))) / 26)) + x531))
Duration;272447
Testset error;2775.110557003079
