Best individual;(((15 + 13) + (((((x29 / (13 / (((((13 / ((x173 + 6) + (-57 + x72))) / x343) + x29) + ((x420 + x29) + x29)) + ((13 + (((15 + (x161 / x343)) + ((x420 + x29) + x29)) + 15)) + (15 / ((x395 + ((15 + 2) / (31 + 22))) + x109)))))) + (13 / ((x460 + 15) + (-57 + x72)))) + ((((x29 / (15 / (31 + ((31 + ((x29 + 6) + 15)) + (x109 + ((x109 + x449) / x8)))))) + x29) + 15) + x29)) + x29) + x29)) / (x8 / ((x29 + (15 / ((x395 + ((15 + (x8 / (31 + ((x8 / ((x109 + x173) + 15)) + x29)))) / (31 + ((31 + x109) + (x109 + ((x109 + (x8 / x8)) / x8)))))) + x109))) + 15)))
Duration;273556
Testset error;2462.229494583978
