Best individual;(((x298 + (-53 + ((((25 + (25 + (((25 * (x249 + ((25 + 81) * x268))) * x268) + (((x115 + ((x561 + 25) * x142)) * x382) + (x115 + -53))))) + (25 + ((x288 * ((25 + (x298 + ((41 * x382) + (x115 + -53)))) + (((x298 + (x11 + x135)) * -53) + (x115 + -53)))) + (x115 + -53)))) * x268) + 25))) + ((x288 + ((25 * (x249 + ((((25 + (25 + (x298 + ((x146 * 25) + 25)))) + (25 + ((25 + (81 + (25 + 25))) * x268))) + 81) * x268))) * x268)) + (((((((25 + (((((25 + x503) + x298) + (x298 + x288)) + 25) + x496)) + 25) + ((25 * (x298 + 25)) + 25)) + x496) + 81) + 25) + (x298 + x288)))) + ((((25 + (25 + (x298 + ((x288 * x382) + (x115 + -53))))) + (25 + ((25 + (81 + (25 + 25))) * x268))) + 81) * x268))
Duration;267653
Testset error;2456.8178203813995
