Best individual;((((x167 * (((((((((35 + ((x132 + x132) + 15)) + (((x257 * x517) + 35) / 35)) + x470) + ((x352 * ((35 * (x369 + x167)) + x470)) + (35 + x470))) + ((((35 + ((x470 + x352) + (x43 + x139))) + (((x257 * x517) + 35) / 35)) + x470) + ((x352 * ((35 * (x369 + x167)) + x470)) + (35 + x470)))) + x407) / (((x257 * (35 % ((x407 * 15) * 15))) + 35) / 35)) + 35) + x470)) / (((((x470 * (35 * ((35 + (x470 / (((35 * x407) / (-31 + 35)) + (x170 * 35)))) + ((x352 * ((35 * (x369 + x167)) + x470)) + (35 + x470))))) / 35) + x470) + x470) % (((35 / ((((x470 * ((((x170 * 35) * 35) * 35) + x470)) * 15) * 15) + 35)) + (35 + x470)) * (35 + (x170 / (35 % ((35 * 15) * 15))))))) + ((35 * x407) / (-31 + 35))) * (35 % ((35 * 15) * 15)))
Duration;281889
Testset error;2616.8754391270622
