Best individual;(((((((x79 % (x479 / ((30 % (-79 / (x622 - (x126 / ((x479 + x481) + (x622 % x92)))))) / ((x79 + x539) / 74)))) - 74) + -50) - 74) + -50) + ((((((((((x622 - (-50 % ((x275 / x208) / x79))) / x208) + x479) + x479) * 30) - (-50 % (((x622 % ((x479 + ((-79 + x539) / 74)) / x79)) / x208) / x79))) / x208) + x479) + x479) * 30)) + x539)
Duration;279957
Testset error;2830.64962595029
