Best individual;((((((x477 + ((((((-43 + (x260 / x241)) + ((x459 + x521) + (x552 % 39))) + x15) + x278) / (x345 + x278)) * x477)) / x521) / x521) + x624) + ((((39 + ((x477 + (39 / (((x190 + x501) + x15) + x278))) + ((x459 + x521) + (x552 % 39)))) + ((((((-43 + (x190 / x278)) + ((x459 + x521) + (x552 % 39))) + x15) + x278) / (x345 + x278)) * x477)) / x521) / x267)) + (x477 + (x477 * (59 + ((39 + ((x477 + x477) % 39)) / (x477 % ((x267 / x521) + x624)))))))
Duration;280811
Testset error;6360.323075954461
