Best individual;(((((((((((((((54 + 54) + x60) * x29) + (((x60 * x340) + (x60 + 55)) / x60)) * x29) + (((x60 * ((x0 * x29) + x284)) + (x60 + ((x105 / x60) + x596))) / x60)) + ((((((x93 * x348) / x60) + ((x596 + x609) / x0)) + (50 / (x60 + (x474 + x60)))) + x0) + (((x60 + ((x260 + 35) + (54 * x592))) / x60) + 35))) + (x93 * x348)) * (x0 % ((50 / (x60 + ((((x596 + -29) + (54 * -31)) / x60) + x596))) + (54 + 50)))) / x60) + ((x596 + ((((x433 / x0) + (x149 + 35)) + x596) / x0)) / x0)) + (50 / (x60 + (((x225 / (x375 + x0)) + 54) + x60)))) + x0) + (((x60 + (((((((x0 + ((x215 + 54) + (x225 / x60))) + ((27 + x0) + x60)) + x0) + ((54 + 50) + x60)) / ((x596 + ((((x433 / x0) + (x149 + 35)) + x596) / x0)) / x0)) + 35) + (54 * ((((x0 + 50) + x60) + (x225 / x60)) + ((54 + 50) + x60))))) / x60) + 35)) + ((50 + ((x0 + (x0 % ((x225 / x60) + (54 + 50)))) + (54 * ((((x0 + 50) + x60) + 50) + ((54 + 50) + x60))))) / x60))
Duration;279672
Testset error;2523.794701820987
