Best individual;((((((((x29 * ((((((x56 * (-29 * x357)) + x29) * ((x29 * (x395 * x350)) + 51)) + (51 + x29)) + ((x263 + ((x141 * x56) + 51)) * x56)) * x29)) * x56) + (x56 + ((x263 + (5 + 51)) * x56))) * x56) + (((x29 * x56) * x56) + x29)) + (((x56 + (x56 + ((x263 + ((x141 * x56) + 51)) * x56))) * (x457 + x588)) * x56)) + (51 + x29)) * (x457 + x588))
Duration;276325
Testset error;2547.335277293614
