Best individual;((((x287 * ((((x295 + (((((x287 * ((x295 * x146) + (x287 * -19))) + x134) + x128) + -56) + x152)) + x287) + (x287 * (x287 + (((x287 * ((x287 * ((x76 * x146) + (x287 * x287))) + x134)) * x287) * x363)))) * ((x322 * x287) + x134))) + ((((x295 + (x287 + ((16 + ((x287 * (16 + (x363 + x428))) * x287)) + (x287 + (x287 * ((x287 * (16 + x134)) * x287)))))) + 31) * (x295 + x287)) + (x287 * (16 + (x287 + x152))))) + (31 * 31)) + ((((x287 + (((x287 * ((x295 * x307) + x134)) * x287) * x363)) * x146) + (x287 * x287)) + x287))
Duration;270164
Testset error;2535.560891734023
