Best individual;((((((67 / (67 - ((((((((x61 + 21) + (x56 + -67)) / 19) * 67) + ((((x540 * x481) / (x1 / x178)) * ((-39 * 67) / x178)) / (((-13 * -55) / (67 - 19)) - x481))) + (x481 + ((((x226 * x404) / x178) * 67) / x178))) / x481) / ((21 + ((((21 + (x477 / x276)) + (x481 + (x392 / x178))) / (x360 - 19)) / 21)) * ((21 * ((-14 + ((21 + x467) + (x396 / x178))) / (67 - 19))) / x481))))) + (x477 / x276)) + (x396 / x178)) + (21 / x283)) + (x481 + (x392 / x178))) * (x481 + (((((21 + ((((((((x606 + x481) + (x56 + -67)) / 19) * 67) + ((((x540 * x481) / (x1 / x178)) * ((-39 * 67) / x178)) / (((-13 * -55) / (67 - 19)) - x481))) + (x481 + ((((x226 * x404) / x178) * 67) / x178))) / (x360 - 19)) / ((21 + ((((21 + (x477 / x276)) + (x481 + (x392 / x178))) / (x360 - 19)) / 21)) * ((21 * ((-14 + ((21 + x467) + (x396 / x178))) / (67 - 19))) / x481)))) * ((21 * ((-14 + ((21 + (((x178 / 19) * 67) / x178)) + ((((x481 * x606) / x178) * 21) / x178))) / (67 - 19))) / x481)) / x178) * 67) / x178)))
Duration;282025
Testset error;2846.9670130378763
