time;testset error
11399389;2316.786113048021
12454291;2005.8370453615717
10455665;2031.6292054728203
12817441;2077.8000693953854
12835194;1996.1111901290553
12467671;2092.003337460677
13583031;2267.075115423342
12853492;2005.4347197491318
13156475;2003.927249957146
1294396;2007.8587671302644
12959074;4393.4535011007665
1313418;1997.0070123724886
13032743;2219.508110927555
7665069;1964.1852224344339
12786033;2024.854295571219
12672856;2059.508454751584
13027244;1959.302959451629
12996027;29824.133705495286
13054484;2012.3802933227728
13229357;1983.1240645372645
12135721;2012.150946627399
13107294;2841.971462507736
13069347;2227.796417544281
