Best individual;(((((((((((x577 + ((((61 * x149) - x90) + x410) + (((x482 + 50) + x481) + (x464 + (x583 - x462))))) - (-10 + ((((x213 + -10) * x333) + x122) * x333))) + x333) + (47 - x482)) + ((x541 + ((44 + ((((x547 + x579) + (33 + x380)) + (x462 + (x557 + -89))) + 33)) + ((28 + ((x364 + (x591 + x99)) - ((x290 + x469) + (47 - -83)))) + x132))) + x55)) + ((x541 + ((33 - (((((x289 + x355) + (x261 - x541)) + x577) + (x462 + ((x290 + x464) + -89))) + ((33 * (x541 + (x536 + -12))) + (x464 + (x270 - (x480 + 57)))))) + x577)) + (x579 * (33 * ((x541 + (x462 + (x464 + (x464 - (x346 + x179))))) + ((33 * (x541 + (x536 + -12))) + (x464 + (x270 - (x480 + 57))))))))) + x579) + (x579 * (((x541 + (x71 + ((x601 + x7) + (47 - x482)))) + ((33 * x333) + x122)) * ((x541 + (x462 + (x464 + (-20 - x577)))) + ((33 * (x541 + (x536 + -12))) + (x464 + (x270 - (x480 + 57)))))))) + (32 + (((x541 + (44 + (x579 * (((x541 + (x71 + ((x601 + x7) + (47 - x482)))) + ((33 * x333) + x122)) * ((x541 + (x462 + (x464 + (-20 - x577)))) + ((33 * (x541 + (x536 + -12))) + (x464 + (x270 - (x480 + 57))))))))) + x55) + (44 + (33 + (((((x577 + (((x567 + x499) + (44 + x577)) + ((x499 + x481) + (x464 + x9)))) - (x490 + (44 + ((32 * x469) + x577)))) % x71) + x577) + x171)))))) + (x541 + (x384 + ((x12 + (x579 + ((28 + ((x364 + (x591 + ((-89 + (x386 - x55)) + x577))) - ((((33 * x333) + x122) + (x132 + x270)) + (47 - (-10 + 61))))) + x132))) + x132)))) + ((28 + ((x364 + (((x577 + ((((33 * (x541 + (x536 + (x132 + x384)))) - x90) + x410) + ((((x47 + x246) + 50) + x481) + (x464 + (x583 - x462))))) - (x490 + (44 + ((32 * ((x15 + x113) - x536)) + x577)))) % x71)) - ((((33 * x333) + x122) + (x132 + x270)) + (47 - (-10 + 61))))) + ((x536 + (x499 * (((x464 + x171) + x132) + x55))) + (33 * (x541 + (44 + x577))))))
Duration;225737
Testset error;1997.1279599530217
