Best individual;((((((((((x60 * ((((54 * (x524 % x505)) % (-34 + (33 * x140))) + (((x312 + x135) * (x377 % x101)) % (-34 + (33 * x620)))) + (((x467 * x158) * 54) % ((-61 * x85) * 54)))) + x158) * (x377 % ((x118 + ((((-34 + x344) + 54) + x118) + 54)) * 33))) % (-34 + (33 * (x21 % ((33 * (((x524 + x27) + 46) + (-34 * (x118 * x594)))) * 46))))) + ((((x118 + (((((x118 + -34) - x21) + x60) + x21) % ((-34 * ((x494 + x118) * x214)) * 54))) + (((x467 * x158) * 54) % ((-61 * x85) * 54))) * (x377 % ((x118 + ((((-34 + x344) + 54) + x118) + 54)) * 33))) % (-34 + (33 * (x21 % ((33 * (((x524 + x27) + 46) + (-34 * (x118 * x594)))) * 46)))))) + (((x467 * x158) * 54) % ((-61 * x85) * 54))) * (x377 % ((x118 + ((((-34 + ((((33 + x68) - x21) + x60) + x21)) + 54) + x118) + 54)) * 33))) + (((54 * (x85 % ((x118 + ((((x21 + 57) + 54) + x118) + 54)) * 33))) % (-34 + (33 * (x21 % ((33 * (((x524 + x27) + 46) + (-34 * (x118 * x594)))) * 46))))) + ((((x118 + (((((x118 + -34) - x21) + x60) + x21) % ((-34 * ((x494 + x118) * x214)) * 54))) + (((x467 * x158) * 54) % ((-61 * x85) * 54))) * (x377 % ((x118 + ((((-34 + x344) + 54) + x118) + 54)) * 33))) % (-34 + (33 * (x21 % ((33 * (((x524 + x27) + 46) + (-34 * (x118 * x594)))) * 46))))))) + (33 * (46 % ((-34 * (x60 * x214)) * 54)))) + ((x118 + ((((x60 * (46 % (-34 + (33 * (x21 % (x103 + x419)))))) + (((x467 * x158) * 54) % ((-61 * x85) * 54))) * (x377 % ((x118 + ((((-34 + x344) + 54) + x118) + 54)) * 33))) % (-34 + (33 * (x21 % ((33 * (((x524 + x27) + 46) + (-34 * (x118 * x594)))) * 46)))))) + x118))
Duration;211561
Testset error;1837.184648329683
