Best individual;(((((((((x132 + ((((((x132 - x290) + (63 + x313)) + (x465 + (9 * 81))) + ((x465 + (9 * 81)) - ((x313 * -49) - x134))) + ((((20 + x287) * -49) - x134) % x0)) * x615)) + (((3 * ((80 / ((x9 * x281) + (-71 - x432))) + (((x105 + x277) + (x132 + x240)) + x472))) + x465) + x313)) + ((x99 - ((x313 * ((((x283 + 54) + 3) - ((x313 * -49) - x134)) - x432)) - x134)) + (((((x572 * x263) * (x99 + 34)) + ((((x456 + 54) + 3) - ((x313 * -49) - x134)) - x432)) + x476) * x9))) + (80 / (x465 + (((-60 - x277) + x583) - x432)))) + (((((((((9 + (x9 * x615)) + x0) + x203) + ((x465 + (9 * 81)) - ((x313 * -49) - x134))) * -49) - x134) % x0) + x313) + (((x92 + x512) - -10) + x583))) + (((((x465 + 24) + (63 + x313)) + ((x313 * -49) - x134)) + ((x465 + (9 * 81)) - ((x313 * -49) - x134))) + x134)) + ((x99 - ((x313 * (((((x240 / 3) + 54) + 3) - ((x313 * -49) - x134)) - x432)) - x134)) + (((((x572 * x263) * (x99 + 34)) + (((((x240 / 3) + 54) + 3) - ((x313 * -49) - x134)) - x432)) + x476) * x9))) + (((((x572 * x263) * (x99 + 34)) + (((((x240 / 3) + 54) + 3) - ((x313 * -49) - x134)) - x432)) + x476) * x9)) - ((((x572 * x263) * (x99 + 34)) + ((((x456 + 54) + 3) - ((x313 * -49) - x134)) - x432)) + x476))
Duration;210093
Testset error;1918.0736533268623
