Best individual;((((((x5 % ((x286 + (33 * (x224 * ((x473 + ((33 + (x494 - x610)) / ((10 + -60) / (x612 - x483)))) + x473)))) * ((x473 + ((10 + -60) / (x612 - x483))) % (x494 * 24)))) + x473) + (x473 - x612)) + (x575 * ((((x494 * (18 + 33)) + (x5 % (x453 - 17))) + (x567 + (33 * (x224 * x551)))) + ((((x494 - x547) / 33) * 11) + 33)))) + ((((x494 - x547) / 33) * 11) + 33)) * ((x473 + ((10 + ((((x494 - x547) / 33) * 11) + 33)) / (x612 - x483))) % (x494 * 24)))
Duration;198321
Testset error;1809.8837723694255
