Best individual;((((((((((x277 * (((x116 + ((x469 / x343) + 26)) / (((21 - x103) - 21) + (x591 + x292))) + (((x591 - (x84 - x102)) - 21) + x591))) + (((((x33 + (29 + 29)) + -10) + ((x464 + 26) + x76)) + 26) + 26)) - x277) + ((((((x277 * ((-38 * x277) + (x326 + x591))) + (((x108 + x239) + 26) + 26)) - (x591 / (((x61 + x591) - -29) + (x277 + 26)))) + 29) + (x591 - (((x102 / (x277 + (x338 + x248))) * x433) + (x58 - (((x270 + 29) + (x591 + x292)) / 44))))) + x591)) + (x591 - (((x102 / (x277 + (x338 + x248))) * x433) + (x58 - (((x270 + 29) + (x591 + x292)) / 44))))) + x156) + ((((((37 * x433) * x475) % -97) - -10) / x464) + (x277 + 26))) / (x116 + x76)) + (((x591 + (x591 / (((x76 - (((x102 / (x277 + ((-30 + x153) + (x116 + x76)))) * 2) + (x58 - ((((x454 - -12) + 29) + (x591 + (x274 * x325))) / 44)))) - 21) + (x277 + 26)))) + (x156 + (((x358 + (x591 / ((((((37 * x433) * x475) % -97) - -10) / x464) + (x277 + 26)))) + (x277 + 26)) + x591))) + x591)) * 55)
Duration;207894
Testset error;1803.6416340259348
