Best individual;((((((((((((39 * (((-17 % x116) + x132) + (x308 - 18))) % ((39 * (x308 + (73 + x405))) + x502)) % (((((x132 - x458) + (73 * x90)) + x132) + (((x308 * -1) * x458) % ((x502 + 73) + x612))) + -66)) + ((x444 * -58) - x90)) - (x177 % ((39 * x222) + x502))) + (((x611 - x612) + (73 * x90)) + x132)) + (((((x611 - x612) + (73 * x90)) + x132) + (((x308 * -1) * x458) % ((x502 + 73) + x612))) + x502)) - x308) + ((((((((x177 % ((86 + (x308 % x470)) + x502)) + ((x444 * -58) - x90)) - (x177 % ((39 * x222) + x502))) + ((((86 + x458) - x614) % (x308 - 18)) + (86 + x458))) + (73 * x90)) - x308) + (73 * x90)) + x132)) + x132) + ((((((((((-1 + (45 % ((x242 * x549) - x248))) - -58) * -58) - x614) % (18 + ((x177 % (((18 + (-1 - x591)) * -66) + x612)) + x405))) + ((((((x177 % ((39 * x222) + x502)) + (((-1 - 18) * -58) - x90)) - x121) + (x248 + (x275 + x93))) + x612) + (73 * x90))) - -1) + (73 * x90)) + (((((-81 - 18) * -58) % -1) - x438) + x511)) + x614)) + ((86 + x171) + x502))
Duration;207903
Testset error;1969.7116186114854
