Best individual;((((((((x209 % (-54 - ((63 + ((((x140 + x485) - (24 + -54)) + x405) + ((47 + (4 + x404)) - x593))) - (-22 / ((x593 * (x485 - x553)) + ((x167 * x209) - x512)))))) + (((63 + ((((-54 + (x423 + -8)) - (24 + -54)) + x405) + ((47 + (4 + (x38 * x209))) - x593))) - (-22 / ((x593 * (x485 - x553)) + ((x167 * x209) - x512)))) % -75)) + (((((x553 - ((24 + (x38 * (-54 + x274))) * 8)) % (((((-27 + x485) % x62) + x485) + (4 + ((63 + x400) - (x221 * 8)))) - ((((x264 - x167) + 24) + x140) - x405))) + (((63 + (((x194 - x168) + x405) + ((47 + x57) - x593))) - (-22 / ((x593 * (x485 - x553)) + ((x167 * x209) - x512)))) % -75)) + (4 + ((63 + (x140 + x153)) - (x221 * 8)))) - (24 + -54))) - x289) + (((((((((x167 + x593) + (4 + x477)) - (24 + -54)) + 24) + x140) - x405) - (x221 * 8)) % x485) + (((63 + ((((-54 + (x423 + -8)) - (24 + -54)) + x405) + ((47 + (4 + (x38 * x209))) - x593))) - (-22 / ((x593 * (x485 - x553)) + ((x167 * x209) - x512)))) % -75))) + ((((((x553 - ((24 + (x38 * (-54 + ((x485 - 28) - -54)))) * 8)) % (((((((x39 - x169) % 47) + x485) % x62) + x485) + (4 + ((63 + (x140 + x153)) - (x221 * 8)))) - ((((((x269 + x485) + (4 + x477)) - (24 + -54)) + 24) + x140) - x405))) + (((63 + ((((-54 + (x423 + -8)) - (24 + -54)) + x405) + ((47 + (4 + (x38 * x209))) - x593))) - (-22 / ((x593 * (x485 - x553)) + ((x167 * x209) - x512)))) % -75)) + (4 + ((63 + (x140 + x153)) - (x221 * 8)))) - (24 + -54)) + (((((((((x167 + x593) + (4 + x477)) - (24 + -54)) + 24) + x140) - x405) - (x221 * 8)) % x485) + (((63 + ((((-54 + (x423 + -8)) - (24 + -54)) + x405) + ((47 + (4 + (x38 * x209))) - x593))) - (-22 / ((x593 * (x485 - x553)) + ((x167 * x209) - x512)))) % -75)))) - (x182 + -48)) + (63 * 24))
Duration;224165
Testset error;1831.7112746066011
