Best individual;(((((69 * ((x9 - (69 / (((x559 + ((x307 + ((-63 * x307) + x9)) + x247)) * x307) - x246))) - ((x625 - 15) * x264))) + (((x247 + ((((x307 + x307) + (-46 + x559)) + x9) * 10)) + x559) % x177)) + (((x247 + ((((x307 + x307) + (-46 + x559)) + x9) * 10)) + x559) % x177)) + (((x247 + ((((x307 + x307) + (-46 + x559)) + x9) * 10)) + x559) % x177)) - (-46 + x559))
Duration;197357
Testset error;1918.7614341101919
