Best individual;((((((x424 * ((22 - (((x594 + (((22 - (16 * x133)) - x290) - -75)) - x385) * 22)) - x290)) % 19) * ((((x594 + (((22 - (72 * 22)) - x290) - -75)) - x385) - x614) + (((72 * 22) - (x51 / -19)) + 19))) + ((79 + (((x424 * (19 + ((22 + ((((x561 + x549) + (72 * 22)) % 19) / 22)) + 72))) % -19) * ((((x594 + (((22 - (72 * 22)) - x290) - -75)) - x385) - x614) + (((72 * 22) - (x51 / -19)) + 19)))) + (((60 * (22 + (x531 + ((((((x230 / 79) + 22) - 72) + 22) + (72 * 22)) % 19)))) % -19) * ((((x594 + (((22 - (72 * 22)) - x290) - -75)) - x385) - x614) + (((72 * 22) - (x51 / -19)) + 19))))) / x176) + ((x87 / (22 + ((((((x424 + 22) - 72) + 22) + (72 * 22)) % 19) / 22))) + (72 * 22)))
Duration;201528
Testset error;1852.7789819839743
