generation;fitness
0;2366.7498558401635
1;2098.1727080445057
2;2323.9027351555524
3;2048.5404404703318
4;2290.770182788324
5;2048.5404404703318
6;2216.0377133833335
7;1982.1140137274228
8;2201.365518767998
9;1959.411354366981
10;2201.365518767998
11;1959.411354366981
12;2201.365518767998
13;1959.411354366981
14;2201.365518767998
15;1917.1835255128397
16;2187.636715387062
17;1906.4997064996242
18;2168.6304693016987
19;1919.5217669392773
20;2168.6304693016987
21;1919.5217669392773
22;2168.6304693016987
23;1879.4687358539256
24;2175.1157405871686
25;1866.123864630312
26;2172.8011980165106
27;1866.2260722300482
28;2172.736642839785
29;1865.4395012560205
30;2172.7997245277998
31;1857.7342474318218
32;2168.3236241793065
33;1857.5427384329928
34;2168.5688546095503
35;1857.031974390068
36;2167.0396134178795
37;1873.849438025813
38;2172.1695843423704
39;1861.8738633522423
40;2172.2495245928476
41;1848.7646227521504
42;2172.557682553324
43;1919.9731984022576
44;2170.0960272174566
45;1918.278958604477
46;2171.237415964011
47;1918.9887548236823
48;2170.871969934395
49;1902.453649821469
50;2134.791339277766
51;1912.43815128099
52;2152.5870410103116
53;1914.6030042342659
54;2152.3878854044483
55;1899.2027707695506
56;2152.3078507852983
57;1895.1067818013883
58;2142.249013585859
59;1879.5971917827383
60;2142.5304476350584
61;1834.019659057526
62;2120.8513043045214
63;1867.6624536033587
64;2136.9982126333866
65;1888.7134244164986
66;2158.298736143832
67;1888.2189369800712
68;2149.8757625325356
69;1880.642625323205
70;2149.8757625325356
71;1894.9935491281644
72;2137.456311164995
73;1889.0642977255357
74;2135.8559570793286
75;1888.2636947801607
76;2161.455829655419
77;1886.782147053835
78;2162.40933829051
79;1891.0202140506433
80;2152.657244459847
81;1877.6238789966076
82;2150.9714245119453
83;1876.1238864914667
84;2137.4259591449413
85;1876.2443610145392
86;2152.6355410042647
87;1887.9640558160172
88;2141.2949046773297
89;1875.9383641906295
90;2149.79824368905
91;1877.4139603770611
92;2154.5394647248127
93;1875.9069952937562
94;2122.5623827355416
95;1875.9740777814018
96;2122.4664302337765
97;1800.4087153487185
98;2122.568993920798
99;1853.1834185544817
100;2122.444197610459
101;1853.923270729289
102;2113.302838919683
103;1889.8198041727735
104;2114.386238377087
105;1784.8253300635597
106;2120.6379780220664
107;1887.0597433657597
108;2120.67122777412
109;1853.944019988319
110;2122.4171802360715
111;1868.61314017885
112;2122.0445929999496
113;1868.6131387696992
114;2125.646953680307
115;1868.613143768785
116;2136.426249539105
117;1860.297304546023
118;2122.5327402047033
119;1810.7800435888396
120;2147.661883320349
121;1810.9358863748794
122;2155.7082087154513
123;1810.787354719893
124;2155.613550178889
125;1810.9699793933341
126;2155.4912987675584
127;1810.8814595974145
128;2149.288293360427
129;1810.342390098821
130;2115.0451857804733
131;1810.75231654914
132;2135.6930500953063
133;1810.884662850712
134;2151.71526783711
135;1810.7336350038088
136;2143.3226085348115
137;1809.8135789004818
138;2145.3292826446823
139;1770.5048514662935
140;2145.622105632519
141;1767.856865349443
142;2149.8191458409633
143;1768.3341599455366
144;2149.037006559116
145;1767.8399391814141
146;2147.340578414371
147;1767.8737532767445
148;2148.9597325991826
149;1765.7828376080172
150;2143.452049641813
151;1767.6075202557415
152;2149.046976945276
153;1767.429353891312
154;2145.9147271771876
155;1765.4754494565727
156;2141.641226605472
157;1761.569559827175
158;2140.056965015992
159;1765.6950051247422
160;2139.589247436083
161;1810.9736531440653
162;2138.0243207805897
163;1856.0846152843885
164;2153.4181969191736
165;1769.4131486956899
166;2139.291151546514
167;1768.96547886593
168;2137.4173808600312
169;1763.5237619287193
170;2147.31705154478
171;1767.975652854519
172;2153.0764639903414
173;1767.8883854500598
174;2146.068106149688
175;1767.9303916581437
176;2143.9858476345744
177;1853.7596694176136
178;2146.0430112149625
179;1841.497872139676
180;2125.825875318242
181;1817.8061883615692
182;2152.1173853293103
183;1852.2695170734557
184;2144.3589279247994
185;1852.2763209672003
186;2154.538403851158
187;1852.2768412230582
188;2147.8908404514905
189;1850.3875638200004
190;2147.809860446041
191;1850.3875638200004
192;2149.7920858574175
193;1850.3824754207258
194;2139.6943215363103
195;1863.1026490715717
196;2138.447026609982
197;1863.1107555341134
198;2142.3384470001706
199;1868.9242777342158
200;2142.3555939058574
201;1854.8889358519975
202;2140.6726529572825
203;1797.6834961731947
204;2142.2374550237823
205;1853.0545321353547
206;2083.8746521806106
207;1848.7271778111442
208;2146.4177462628295
209;1853.054526193223
210;2142.3602277673917
211;1853.0545411671335
212;2142.3785702481046
213;1853.0545261802072
214;2133.539687070255
215;1850.8861217254766
216;2116.2750920632866
217;1850.886122835255
218;2137.345021050915
219;1850.8861227780587
220;2141.9410596659977
221;1842.2056711426671
222;2141.583483322821
223;1841.937689109896
224;2141.651070306538
225;1795.0494242872428
226;2141.651070306538
227;1801.3002907202285
228;2141.75834182964
229;1841.9375790918352
230;2137.904636569007
231;1837.1467119265815
232;2142.1564656273968
233;1848.0004887192476
234;2125.5257610117374
235;1749.7265944200788
236;2064.8722663105505
237;1747.7612225146866
238;2097.865525718747
239;1715.9347750949132
240;2124.530775965852
241;1787.6783284220276
242;2144.6979902803005
243;1762.0754211222607
244;2143.7341459183936
245;1811.925203989424
246;2133.8011680078025
247;1840.7666093855707
248;2139.0766207462993
249;1757.4428268777122
250;2145.7942367399137
251;1985.8337370984143
252;1980.4427387678277
253;1976.0636608287516
254;1976.0636608287516
255;1975.595673356745
256;1975.595673356745
257;1975.595673356745
258;1975.595673356745
259;1975.595673356745
260;1975.595673356745
261;1975.595673356745
262;1975.595673356745
263;1975.595673356745
264;1975.595673356745
265;1975.595673356745
266;1975.595673356745
267;1975.595673356745
268;1957.9643779480512
269;1957.9643779480512
270;1957.9643779480512
271;1957.9643779480512
272;1957.9643779480512
273;1957.9643779480512
274;1957.9643779480512
275;1957.9643779480512
276;1957.9643779480512
277;1957.9643779480512
278;1957.9643779480512
279;1957.9643779480512
280;1957.9643779480512
281;1957.9643779480512
282;1957.9643779480512
283;1957.9643779480512
284;1957.9643779480512
285;1957.9643779480512
286;1957.9643779480512
287;1957.9643779480512
288;1957.9643779480512
289;1957.9643779480512
290;1957.9643779480512
291;1957.9643779480512
292;1957.9643779480512
293;1957.9643779480512
294;1957.9643779480512
295;1957.9643779480512
296;1957.9643779480512
297;1957.9643779480512
298;1957.9643779480512
299;1957.9643779480512
300;1957.9643779480512
301;1957.9643779480512
302;1957.9643779480512
303;1957.9643779480512
304;1957.9643779480512
305;1957.9643779480512
306;1957.9643779480512
307;1957.9643779480512
308;1957.9643779480512
309;1957.9643779480512
310;1957.9643779480512
311;1957.9643779480512
312;1957.9643779480512
313;1957.9643779480512
314;1957.9643779480512
315;1957.9643779480512
316;1953.8532538098739
317;1953.8532538098739
318;1953.8532538098739
319;1953.8532538098739
320;1953.8532538098739
321;1953.8532538098739
322;1953.8532538098739
323;1953.8532538098739
324;1953.8532538098739
325;1953.8532538098739
326;1953.8532538098739
327;1953.8532538098739
328;1953.8532538098739
329;1953.8532538098739
330;1953.8532538098739
331;1953.8532538098739
332;1953.8532538098739
333;1953.8532538098739
334;1953.8532538098739
335;1953.8532538098739
336;1952.9978757633594
337;1952.9978757633594
338;1952.9978757633594
339;1952.9978757633594
340;1952.9978757633594
341;1952.9978757633594
342;1952.9978757633594
343;1952.9978757633594
344;1952.9978757633594
345;1952.9978757633594
346;1952.9978757633594
347;1952.9978757633594
348;1952.9978757633594
349;1952.9978757633594
350;1952.9978757633594
351;1952.9978757633594
352;1952.9978757633594
353;1952.9978757633594
354;1952.9978757633594
355;1952.9978757633594
356;1952.9978757633594
357;1952.9978757633594
358;1952.9978757633594
359;1952.9978757633594
360;1952.9978757633594
361;1952.9978757633594
362;1952.9978757633594
363;1952.9978757633594
364;1952.9978757633594
365;1952.9978757633594
366;1952.9978757633594
367;1952.9978757633594
368;1952.9978757633594
369;1952.9978757633594
370;1952.9978757633594
371;1952.9978757633594
372;1952.9978757633594
373;1952.9978757633594
374;1952.9978757633594
375;1952.9978757633594
376;1952.9978757633594
377;1952.9978757633594
378;1952.9978757633594
379;1952.9978757633594
380;1952.9978757633594
381;1952.9978757633594
382;1952.9978757633594
383;1952.9978757633594
384;1952.9978757633594
385;1952.9978757633594
386;1952.9978757633594
387;1952.9978757633594
388;1952.9978757633594
389;1952.9978757633594
390;1952.9978757633594
391;1952.9978757633594
392;1952.9978757633594
393;1952.9978757633594
394;1952.9978757633594
395;1952.9978757633594
396;1952.9978757633594
397;1952.9978757633594
398;1952.9978757633594
399;1952.9978757633594
400;1952.9978757633594
401;1952.9978757633594
402;1952.9978757633594
403;1952.9978757633594
404;1952.9978757633594
405;1952.9978757633594
406;1952.9978757633594
407;1952.9978757633594
408;1952.9978757633594
409;1952.9978757633594
410;1952.9978757633594
411;1952.9978757633594
412;1952.9978757633594
413;1952.9978757633594
414;1952.9978757633594
415;1952.9978757633594
416;1952.9978757633594
417;1952.9978757633594
418;1952.9978757633594
419;1952.9978757633594
420;1952.9978757633594
421;1952.9978757633594
422;1952.9978757633594
423;1952.9978757633594
424;1951.2096377685684
425;1951.2096377685684
426;1951.2096377685684
427;1951.2096377685684
428;1951.2096377685684
429;1951.2096377685684
430;1951.2096377685684
431;1951.2096377685684
432;1951.2096377685684
433;1951.2096377685684
434;1951.2096377685684
435;1951.2096377685684
436;1951.2096377685684
437;1951.2096377685684
438;1951.2096377685684
439;1951.2096377685684
440;1951.2096377685684
441;1951.2096377685684
442;1951.2096377685684
443;1951.2096377685684
444;1951.2096377685684
445;1951.2096377685684
446;1951.2096377685684
447;1951.2096377685684
448;1951.2096377685684
449;1951.2096377685684
450;1951.2096377685684
451;1951.2096377685684
452;1951.2096377685684
453;1951.2096377685684
454;1951.2096377685684
455;1951.2096377685684
456;1951.2096377685684
457;1951.2096377685684
458;1951.2096377685684
459;1951.2096377685684
460;1951.2096377685684
461;1951.2096377685684
462;1951.2096377685684
463;1951.2096377685684
464;1951.2096377685684
465;1951.2096377685684
466;1951.2096377685684
467;1951.2096377685684
468;1951.2096377685684
469;1951.2096377685684
470;1951.2096377685684
471;1951.2096377685684
472;1951.2096377685684
473;1951.2096377685684
474;1951.2096377685684
475;1951.2096377685684
476;1951.2096377685684
477;1951.2096377685684
478;1951.2096377685684
479;1951.2096377685684
480;1951.2096377685684
481;1951.2096377685684
482;1951.2096377685684
483;1951.2096377685684
484;1951.2096377685684
485;1951.2096377685684
486;1951.2096377685684
487;1951.2096377685684
488;1951.2096377685684
489;1951.2096377685684
490;1951.2096377685684
491;1951.2096377685684
492;1951.2096377685684
493;1951.2096377685684
494;1951.2096377685684
495;1951.2096377685684
496;1951.2096377685684
497;1951.2096377685684
498;1951.2096377685684
499;1951.2096377685684
